title,url,id,headline,description,primary_category,primary_subcategory
Web Design for Web Developers: Build Beautiful Websites!,/course/web-design-secrets/,473160,Learn web design in 1 hour with 25+ simple-to-use rules and guidelines — tons of amazing web design resources included!,"<p><strong><em>IMPORTANT NOTE: The material of this course is also covered in my other course about web design and development with HTML5 &amp; CSS3. Scroll to the bottom of this page to check out that course, too! If you're already taking my other course, you already have all it takes to start designing beautiful websites today!</em></strong><br></p><p><em>""</em><strong><em>Best web design course on Udemy:</em></strong><em> If you're interested in web design, but want more than just a ""how to use WordPress"" course, I highly recommend this one."" </em>— Florian Giusti</p><p><em>""</em><strong><em>Very helpful to us left-brained people:</em></strong><em> I am familiar with HTML, CSS, JQuery, and Twitter Bootstrap, but I needed instruction in web design. This course gave me practical, impactful techniques for making websites more beautiful and engaging."" — </em>Susan Darlene Cain</p><p><em>""</em><strong><em>The most educational instructor ever!:</em></strong><em> Everything is good about this course, you learn a lot, the instructor are excellent and the production is flawless. Love this course, simple as that!""</em> — Lovisa</p><p>Did you know that beautiful websites convert better than ones that don't stand out at all? This means more sales, more signups, and ultimately more money for you. Do you want to learn how to do exactly that?<br></p><p><br></p><p><strong>If you wonder how you can make your next website really good-looking, then you've come to the right place! </strong></p><p><strong>In this course, I will show you 25+ guidelines of amazing web design in less than 1 hour.</strong> No boring theory, no unnecessary stuff. You will learn dead simple web design rules and guidelines that go straight to the point — you can use them to improve your websites <strong>today!</strong></p><p>In this course, we will use beautiful web design examples together with my <strong>25+ guidelines of amazing web design</strong> to learn:</p><p>• How to make text look professionally designed</p><p>• How to correctly use the power of colors</p><p>• How to get and use amazing images, fonts, and icons to make your website shine — all for FREE.</p><p>• How to create a layout using whitespace and visual hierarchy</p><p>• How to keep yourself inspired to learn more and more about web design</p><p>• How to make your websites convert better using 8 simple-to-use techniques</p><p>But there is even more: I provide you with tons of useful web design resources to get you started for your next web design project! <strong>These are real-world resources used by real professionals in the web design industry!</strong></p><p>You can use the rules and guidelines you'll learn in this course for everything you want: design your own WordPress theme, personalize a Bootstrap website, start from scratch with HTML and CSS, or mockup a website in Figma. <strong>The 25+ guidelines of amazing web design are universal and ready-to-use for any project.</strong></p><p><strong>This course is perfect for experienced web developers who want to learn how to make their websites look beautiful and professionally designed.</strong></p>",development,web-development
The Complete Python Bootcamp From Zero to Hero in Python,/course/complete-python-bootcamp/,567828,Learn Python like a Professional  Start from the basics and go all the way to creating your own applications and games,"<p><strong>Become a Python Programmer and learn one of employer's most requested skills of 2023!</strong><br></p><p>This is the <strong>most comprehensive, yet straight-forward, course for the Python programming language on Udemy!</strong> Whether you have never programmed before, already know basic syntax, or want to learn about the advanced features of Python, this course is for you! In this course we will&nbsp;<strong>teach you Python 3. </strong></p><p>With <strong>over 100 lectures</strong> and more than 21 hours of video this comprehensive course leaves no stone unturned! This course includes quizzes, tests, coding exercises and homework assignments as well as 3 major projects to create a Python project portfolio!</p><p><strong>Learn how to use Python for real-world tasks, such as working with PDF Files, sending emails, reading Excel files, Scraping websites for informations, working with image files, and much more!</strong></p><p>This course will teach you Python in a practical manner, with every lecture comes a full coding screencast and a corresponding code notebook! Learn in whatever manner is best for you!</p><p>We will start by helping you get Python installed on your computer, regardless of your operating system, whether its Linux, MacOS, or Windows, we've got you covered.</p><p>We cover a wide variety of topics, including:</p><ul><li><p>Command Line Basics</p></li><li><p>Installing Python</p></li><li><p>Running Python Code</p></li><li><p>Strings</p></li><li><p>Lists&nbsp;</p></li><li><p>Dictionaries</p></li><li><p>Tuples</p></li><li><p>Sets</p></li><li><p>Number Data Types</p></li><li><p>Print Formatting</p></li><li><p>Functions</p></li><li><p>Scope</p></li><li><p>args/kwargs</p></li><li><p>Built-in Functions</p></li><li><p>Debugging and Error Handling</p></li><li><p>Modules</p></li><li><p>External Modules</p></li><li><p>Object Oriented Programming</p></li><li><p>Inheritance</p></li><li><p>Polymorphism</p></li><li><p>File I/O</p></li><li><p>Advanced Methods</p></li><li><p>Unit Tests</p></li><li><p>and much more!</p></li></ul><p><strong>You will get lifetime access to over 100 lectures plus corresponding Notebooks for the lectures! </strong><br></p><p>This course comes with a <strong>30 day money back guarantee!</strong> If you are not satisfied in any way, you'll get your money back. Plus you will keep access to the Notebooks as a thank you for trying out the course!</p><p><strong>So what are you waiting for? Learn Python in a way that will advance your career and increase your knowledge, all in a fun and practical way!</strong></p>",development,programming-languages
Microsoft Excel - Excel from Beginner to Advanced,/course/microsoft-excel-2013-from-beginner-to-advanced-and-beyond/,793796,"Excel with this A-Z Microsoft Excel Course. Microsoft Excel 2010, 2013, 2016, Excel 2019 and Microsoft/Office 365/2023","<p><strong>Microsoft Excel all in One Package</strong></p><p>This Microsoft Excel course combines <strong>4 different courses</strong>.</p><ul><li><p>Microsoft Excel 101 - An Introduction to Excel</p></li><li><p>Microsoft Excel 102 - Intermediate Level Excel</p></li><li><p>Microsoft Excel 103 - Advanced Level Excel</p></li><li><p>Master Microsoft Excel Macros and VBA in 6 Simple Projects</p></li></ul><p>Topics covered in this course apply to Excel 2007, 2010, 2013, 2016, 2019 (Microsoft/Office 365)/2023</p><p><strong>Recent Student Review</strong></p><ul><li><p><strong>""</strong><em>You sir are a life saver. Not everyone has the ability to teach. Thank you so much for taking the time to put together an amazing course bro. If anyone doubts buying this course, don't doubt it, buy it. I've learned so much in this course. Hope more courses are on the way because I'd buy every single one of them. Thanks again bro. God bless you and your family.</em>""</p></li><li><p><strong>""</strong><em>Happy to say that I now ""know"" excel. I realize there is so much more to learn, but it's a start! Thank you for being such a great instructor... now on to the next class.</em>""</p></li><li><p><strong>""</strong><em>Thanks for a well made course. The progression of topics is well structured and the part about Macro and VBA was new for me. Excel is a really powerful tool and it is worth know all of its aspects. Kyle did a good job at explaining them.</em>""</p></li></ul><p><strong>Enroll now to go through a deep dive</strong> of the most popular spreadsheet tool on the market, Microsoft Excel. As a Microsoft Certified Trainer I will use my <strong>20+ years of Excel training </strong>to guide you step by step through the beginner to advanced level and beyond.</p><p>As you participate in each of the <strong>4 courses you will master Excel tools </strong>that will clear away the pain of stumbling through your daily tasks. You will start with the basics, building a solid foundation that will give you further knowledge as you progress into intermediate and advanced level topics.</p><p>At completion of this course you will have mastered the most popular Excel tools and come out with confidence to complete any Excel tasks with efficiency and grace. Below are just a few of the topics that you will master:</p><ul><li><p>Creating effective spreadsheets</p></li><li><p>Managing large sets of data</p></li><li><p>Mastering the use of some of Excel's most popular and highly sought after functions (SUM, VLOOKUP, IF, AVERAGE, INDEX/MATCH and many more...)</p></li><li><p>Create dynamic report with Excel PivotTables</p></li><li><p>Unlock the power and versatility of Microsoft Excel's Add-In, PowerPivot</p></li><li><p>Audit Excel Worksheet formulas to ensure clean formulas</p></li><li><p>Automate your day to day Excel tasks by mastering the power of Macros and VBA</p></li></ul><p><strong>What's Included?</strong></p><ul><li><p>18+ Hours of Step by Step Video Lectures by a Microsoft Certified Trainer (MCT)</p></li><li><p>Downloadable Exercise Files to follow along and practice with</p></li><li><p>Additional Exercise Files are provided at the end of each major section (101, 102, 103 and VBA) that you can download and practice the skills you've learned</p></li><li><p>Section Quizzes to Test Your Knowledge on the Lecture Topics</p></li><li><p>QA board where you can post questions, screenshots of your progress and communicate with the instructor and fellow students in the course.</p></li></ul><p><strong>So, what are you waiting for, enroll now and take the next step in mastering Excel and go from Excel Newb to Excel Guru!</strong></p>",office-productivity,microsoft
The Complete 2023 Web Development Bootcamp,/course/the-complete-web-development-bootcamp/,1565838,"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, MongoDB, Web3 and DApps","<p>Welcome to the Complete Web Development Bootcamp,<strong> the only course you need</strong> to learn to code and become a full-stack web developer. With 150,000+ ratings and a 4.8 average, my Web Development course is one of the HIGHEST&nbsp;RATED courses in the history of Udemy!&nbsp;</p><p>At 65+ hours, this Web Development course is without a doubt the <strong>most comprehensive </strong>web development course available online. Even if you have <strong>zero</strong> programming experience, this course will take you from <strong>beginner to mastery</strong>. Here's why:</p><ul><li><p>The course is taught by the <strong>lead instructor</strong> at the App Brewery, London's <strong>leading in-person programming bootcamp</strong>.</p></li><li><p>The course has been updated to be <strong>2023 ready </strong>and you'll be learning the latest tools and technologies used at large companies such as Apple, Google and Netflix.</p></li><li><p>This course doesn't cut any corners, there are beautiful <strong>animated explanation videos</strong> and tens of <strong>real-world projects</strong> which you will get to build.</p></li><li><p>The curriculum was developed over a period of <strong>four years</strong>, with comprehensive student testing and feedback.</p></li><li><p>We've taught over a <strong>million</strong> students how to code and many have gone on to <strong>change their lives </strong>by becoming professional developers or starting their own tech startup.</p></li><li><p>You'll save yourself <strong>over $12,000 </strong>by enrolling, but still get access to the same teaching materials and learn from the same instructor and curriculum as our in-person programming bootcamp.</p></li><li><p>The course is <strong>constantly updated</strong> with new content, with new projects and modules determined by students - that's you!</p></li></ul><p><br></p><p>We'll take you <strong>step-by-step</strong> through engaging video tutorials and teach you everything you need to know to succeed as a web developer.</p><p>The course includes over <strong>65 hours</strong> of HD video tutorials and builds your programming knowledge while making real-world websites and web apps.</p><p><br></p><p>Throughout this comprehensive course, we cover a massive amount of tools and technologies, including:</p><ul><li><p>Front-End Web Development</p></li><li><p><strong>HTML</strong> 5</p></li><li><p><strong>CSS</strong> 3</p></li><li><p><strong>Flexbox</strong></p></li><li><p><strong>Grid</strong></p></li><li><p>Bootstrap 5</p></li><li><p><strong>Javascript</strong> ES6</p></li><li><p>DOM Manipulation</p></li><li><p><strong>jQuery</strong></p></li><li><p>Bash Command Line</p></li><li><p>Git, <strong>GitHub</strong> and Version Control</p></li><li><p>Backend Web Development</p></li><li><p><strong>Node</strong>.js</p></li><li><p>NPM</p></li><li><p><strong>Express</strong>.js</p></li><li><p>EJS</p></li><li><p>REST</p></li><li><p><strong>APIs</strong></p></li><li><p>Databases</p></li><li><p>SQL</p></li><li><p><strong>MongoDB</strong></p></li><li><p>Mongoose</p></li><li><p>Authentication</p></li><li><p>Firebase</p></li><li><p><strong>React</strong>.js</p></li><li><p>React Hooks</p></li><li><p>Web Design</p></li><li><p>Deployment with GitHub Pages, Heroku and MongoDB&nbsp;Atlas</p></li><li><p>Web3 Development on the Internet Computer</p></li><li><p>Blockchain technology</p></li><li><p>Token contract development</p></li><li><p>NFT minting, buying and selling logic</p></li></ul><p>By the end of this course, you will be <strong>fluently</strong> programming&nbsp;and be ready to <strong>make any website you can dream of.</strong></p><p>You'll also build a <strong>portfolio</strong> of over 32+ websites that you can <strong>show off</strong> to any potential employer.</p><p><strong>Sign up today, and look forward to:</strong></p><ul><li><p>Animated Video Lectures</p></li><li><p>Code Challenges and Coding Exercises</p></li><li><p>Beautiful Real-World Projects</p></li><li><p>Quizzes &amp; Practice Tests</p></li><li><p>Downloadable Programming Resources and Cheatsheets</p></li><li><p>Our best selling 12 Rules to Learn to Code eBook</p></li><li><p>$12,000+&nbsp;worth of web development bootcamp&nbsp;course materials and course curriculum</p></li></ul><p><br></p><p>Don't just take my word for it, check out what existing students have to say about the course:</p><p>""Angela is just incredible, awesome and just fantastic in this course. I've never had such an instructor; <strong>detailed</strong> in every aspect of the course, gives precise explanations, gives you the anxiety to learn etc. She's got that ability to make fun while explaining things for better understanding. I really love this course."" - Ekeu MonkamUlrich</p><p>""Angela is very thorough without ever being boring. I've taken MANY online courses in my life including my Bachelors and Masters degrees. She is by far the best instructor I've ever had. This course is <strong>packed with thousands of dollars worth of great instruction</strong>, and paced well enough for anyone to pick coding up and run with it- Thank you!"" - J Carlucci</p><p>""Love the way Angela explains things. Easy to follow and full of logic. I can say she must have spent a lot of energy creating this great course. Thank you and I recommend it to all who's interested in coding!"" - Yiqing Zheng</p><p>""So far (on my third day) this course has taught me <strong>more than I was able to learn in multiple other programming courses</strong>. This course is clearly outlined and builds upon itself gradually in an easy to understand way."" - Normal Ramsey</p><p>""This course will take you from beginner to intermediate level for real. If you don't know how to put together the pieces of web development this is what you're looking for. Angela explains in an amazing way by <strong>creating projects</strong> all the way during this course, explaining the concepts in real practice. Thank you very much, Angela. I will always consider you my mentor. Look forward to taking more courses with you."" - Moises Dionisio Cruz</p><p>""An amazing course, perfect for absolute beginners at the start of their coding journey! Angela is an amazing tutor and can explain in the most simple and comprehensible way even complex coding notions.<strong> Learning web development cannot get any more fun!</strong>"" - Zoe Moyssoglou</p><p>""It's a different approach to teaching Web Development. I like that you are <strong>given everything possible to succeed</strong> from the onset."" - Ronick Thomas</p><p>The tutor is simply AMAZING, by far the best tutor I have ever had. I would give her 10 stars out of 5. She is not just punching the code and talking to herself, but she is actually explaining things. She keeps on giving really useful hints and she will give you a great load of other references. I always knew what I was doing and why I was doing it. All the extra challenges have just made me remember and understand things better. - Peter Dlugos</p><p><br></p><p><br></p><p><strong>REMEMBER… I'm so confident that you'll love this course that&nbsp;we're offering a FULL money-back guarantee for&nbsp;30 days! So it's a complete no-brainer, sign up today with ZERO&nbsp;risk and EVERYTHING to gain.</strong></p><p>So what are you waiting for?&nbsp;Click the buy now button and join the world's highest-rated web development course.</p>",development,web-development
100 Days of Code: The Complete Python Pro Bootcamp for 2023,/course/100-days-of-code/,2776760,"Master Python by building 100 projects in 100 days. Learn data science, automation, build websites, games and apps!","<p>Welcome to the 100 Days of Code - The Complete Python Pro Bootcamp,<strong> the only course you need</strong> to learn to code with Python. With over 500,000 <strong>5 STAR reviews</strong> and a 4.8 average, my courses are some of the HIGHEST&nbsp;RATED courses in the history of Udemy!&nbsp;&nbsp;</p><p><strong>100 days, 1 hour per day, learn to build 1 project per day, this is how you master Python.</strong></p><p>At 60+ hours, this Python course is without a doubt the <strong>most comprehensive </strong>Python course available anywhere online. Even if you have <strong>zero</strong> programming experience, this course will take you from <strong>beginner to professional</strong>. Here's why:</p><ul><li><p>The course is taught by the <strong>lead instructor</strong> at the App Brewery, London's <strong>best in-person programming Bootcamp</strong>.</p></li><li><p>The course has been updated to be <strong>2023 ready </strong>and you'll be learning the latest tools and technologies used at large companies such as Apple, Google and Netflix.</p></li><li><p>This course doesn't cut any corners, there are beautiful <strong>animated explanation videos</strong> and tens of <strong>real-world projects</strong> which you will get to build. e.g. Tinder auto swiper, Snake game, Blog Website, LinkedIn Auto Submit Job Application</p></li><li><p>The curriculum was developed over a period of<strong> 2 years</strong>, with comprehensive student testing and feedback.</p></li><li><p>We've taught over 600,000 students how to code and many have gone on to <strong>change their lives </strong>by becoming professional developers or starting their own tech startup.</p></li><li><p>You'll save yourself <strong>over $12,000 </strong>by enrolling, and still get access to the same teaching materials and learn from the same instructor and curriculum as our in-person programming Bootcamp.</p></li><li><p>The course is <strong>constantly updated</strong> with new content, with new projects and modules determined by students - that's you!</p></li></ul><p><br></p><p>We'll take you <strong>step-by-step</strong> through engaging video tutorials and teach you everything you need to know to succeed as a Python developer.</p><p>The course includes over <strong>65 hours</strong> of HD video tutorials and builds your programming knowledge while making real-world Python projects.</p><p><br></p><p>Throughout this comprehensive course, we cover a massive amount of tools and technologies, including:</p><ul><li><p>Python 3 - the latest version of Python</p></li><li><p>PyCharm, Jupyter Notebook, Google Colab</p></li><li><p>Python&nbsp;Scripting and Automation</p></li><li><p>Python Game Development</p></li><li><p>Web Scraping</p></li><li><p>Beautiful Soup</p></li><li><p><strong>Selenium</strong> Web Driver</p></li><li><p>Request</p></li><li><p>WTForms</p></li><li><p>Data Science</p></li><li><p>Pandas</p></li><li><p><strong>NumPy</strong></p></li><li><p>Matplotlib</p></li><li><p><strong>Plotly</strong></p></li><li><p>Scikit learn</p></li><li><p>Seaborn</p></li><li><p>Turtle</p></li><li><p>Python GUI Desktop App Development</p></li><li><p><strong>Tkinter</strong></p></li><li><p>Front-End Web Development</p></li><li><p>HTML 5</p></li><li><p>CSS 3</p></li><li><p>Bootstrap 4</p></li><li><p>Bash Command Line</p></li><li><p>Git, <strong>GitHub</strong> and Version Control</p></li><li><p>Backend Web Development</p></li><li><p><strong>Flask</strong></p></li><li><p>REST</p></li><li><p><strong>APIs</strong></p></li><li><p>Databases</p></li><li><p>SQL</p></li><li><p><strong>SQLite</strong></p></li><li><p>PostgreSQL</p></li><li><p>Authentication</p></li><li><p>Web Design</p></li><li><p>Deployment with GitHub Pages, Heroku and GUnicorn</p></li><li><p>and much much more!</p></li></ul><p>By the end of this course, you will be <strong>fluently</strong> programming&nbsp;in Python and you'll be so good at Python that you can get a job or use the language professionally.</p><p>You'll also build a <strong>portfolio</strong> of <strong>100 projects</strong> that you can show off to any potential employer. Including:</p><ul><li><p>Blackjack</p></li><li><p>Snake Game</p></li><li><p>Pong Game</p></li><li><p>Auto Swipe on Tinder</p></li><li><p>Auto Job Applications on LinkedIn</p></li><li><p>Automate Birthday Emails/SMS</p></li><li><p>Fully Fledged Blog Website</p></li><li><p>Build Your Own Public API</p></li><li><p>Data Science with Google Trends</p></li><li><p>Analysing Lego Datasets</p></li><li><p>Google App Store Analysis</p></li><li><p>and much much more!</p></li></ul><p><strong>Sign up today, and look forward to:</strong></p><ul><li><p>Video Lectures</p></li><li><p>Code Challenges and Exercises</p></li><li><p>Fully Fledged Projects</p></li><li><p>Quizzes</p></li><li><p>Programming Resources and Cheatsheets</p></li><li><p>Downloads</p></li><li><p>Our best selling 12 Rules to Learn to Code eBook</p></li><li><p>$12,000+&nbsp;Python Pro Bootcamp&nbsp;course materials and curriculum</p></li></ul><p><br></p><p>Don't just take my word for it, check out what existing students have to say about my courses:</p><p>""Angela is just incredible, awesome and just fantastic in this course. I've never had such an instructor; <strong>detailed</strong> in every aspect of the course, gives precise explanations, gives you the anxiety to learn etc. She's got that ability to make fun while explaining things for better understanding. I really love this course."" - Ekeu MonkamUlrich</p><p>""Angela is very thorough without ever being boring. I've taken MANY online courses in my life including my Bachelors and Masters degrees. She is by far the best instructor I've ever had. This course is <strong>packed with thousands of dollars worth of great instruction</strong>, and paced well enough for anyone to pick coding up and run with it- Thank you!"" - J Carlucci</p><p>""Love the way Angela explains things. Easy to follow and full of logic. I can say she must spend a lot of energy creating this great course. Thank you and I recommend it to all who's interested in coding!"" - Yiqing Zheng</p><p>""So far (on my third day) this course has taught me <strong>more than I was able to learn in multiple other programming courses</strong>. This course is clearly outlined and builds upon itself gradually in an easy to understand way."" - Normal Ramsey</p><p>""It's a different approach to teaching Web Development. I like that you are <strong>given everything possible to succeed</strong> from the onset."" - Ronick Thomas</p><p>The tutor is simply AMAZING, by far the best tutor I have ever had. I would give her 10 stars out of 5. She is not just punching the code and talking to herself, but she is actually explaining things. She keeps on giving really useful hints and she will give you a great load of other references. I always knew what I was doing and why I was doing it. All the extra challenges have just made me remember and understand things better. - Peter Dlugos</p><p><br></p><p><br></p><p><strong>REMEMBER… I'm so confident that you'll love this course that&nbsp;we're offering a FULL money-back guarantee for&nbsp;30 days! So it's a complete no-brainer, sign up today with ZERO&nbsp;risk and EVERYTHING to gain.</strong></p><p>So what are you waiting for?&nbsp;Click the buy now button and join the world's highest-rated development course.</p>",development,programming-languages
How to Learn: Effective Approaches for Self-Guided Learning,/course/how-to-learn-effective-approaches-for-self-guided-learning/,3633804,"Discover learning best practices, including setting goals, practicing & applying, reflecting, and learning with others.","<p>So, you've enrolled in a Udemy course - now what? All you have to do is watch it and you'll magically learn, right?</p><p>Well, not quite. While watching an online course is certainly a step in the right direction, learning is much more complex than that. Learning is an active process that requires your participation - it's not just passively watching someone talk. Put simply, learning is DOING - and this course will teach you the things you'll need to do to learn most effectively. <strong>You can use this course alongside another course you're taking - apply the approaches you learn here to make any other course or learning experience more valuable.</strong></p><p>In my role as Director of Learning Science and Instructional Design at Udemy, it's my job to care about all things learning. And that means caring about how you, our Udemy students, learn! <strong>I&nbsp;want you to get the most out of the courses you take, so I built this course to give you tips and strategies I've learned over my 20+ year career, based on psychological principles and learning science best practices.</strong></p><p>In this course, you will:</p><ol><li><p>Define learning and discover different theories of learning.</p></li><li><p>Describe the importance of motivation on learning.</p></li><li><p>Set goals in order to focus your desired learning outcomes.</p></li><li><p>Practice and apply the skills you learn to do what matters.</p></li><li><p>Reflect on what you've learned in order to think critically about the information you receive.</p></li><li><p>Reflect on the progress made towards your goals as a way to boost motivation.</p></li><li><p>Plan how you'll learn with others to get help, feedback, and different perspectives.</p></li><li><p>Turn learning into a lifelong habit.</p></li></ol><p>In the spirit of learning as doing, be sure to complete all the activities we've laid out in this course, and be sure to apply what you're learning to other courses you're working on. </p><p><strong>The more you do to learn, the more learning will do for you. If you want to level up your learning, join me in this course!</strong></p>",personal-development,productivity
Introduction To Python Programming,/course/pythonforbeginnersintro/,433798,A Quick and Easy Intro into Python Programming,"<p>  	Do you want to become a programmer?  </p>  <p>  	Or is it that Python interests you?  </p>  <p>  	<span>If you need a quick brush-up, or learning Python for the first time, you&#039;ve come to the right place!</span>  </p>  <p>  	Let&#039;s get started learning one of the most easiest coding languages out there right now. There&#039;s no need to fret if you haven&#039;t coded before. By the time you finish this course, you&#039;ll be a pro at Python!  </p>  <p>  	Python is a great and friendly language to use and learn. It fun, and can be adapted to both small and large projects. Python will cut your development time greatly and overall, its much faster to write Python than other languages. This course will be a quick way to understand all the major concepts of Python programming. You&#039;ll be a whiz in no time.  </p>  <p>  	This course is a one-stop-shop for everything you&#039;ll need to know to get started with Python, along with a few incentives. We&#039;ll begin with the basics of Python, learning about strings, variables, and getting to know the data types. We&#039;ll soon move on to the loops and conditions in Python. Afterwards, we&#039;ll discuss a bit of file manipulation and functions. By then, you&#039;ll know all the basics of Python.  </p>  <p>  	I hope you&#039;re excited to dive into the World of Python with this course. Well, what are you waiting for? Let&#039;s get started!  </p>",development,programming-languages
Useful Excel for Beginners,/course/useful-excel-for-beginners/,53600,Learn the basics of Microsoft Excel and become an effective user,"<p>&nbsp; 	&nbsp; &nbsp; Welcome to the <em>Useful Excel for Beginners</em> course.&nbsp; </p><p>&nbsp; 	&nbsp; &nbsp;In this course, you will learn the fundamentals of Excel and become an effective user. The target audience for the course are those who have never used Excel before and those who are beginner level users. You would need a copy of Microsoft Excel for Windows since you will be practicing along with the course. I use Excel 2010 for Windows in the videos but any version with Excel 2007 for Windows or later would work. Excel Versions prior to 2007 have a different user interface but concepts will apply.&nbsp; </p><p>&nbsp; 	&nbsp; &nbsp;As the course is targeting beginners, it has been developed to be very easy to follow. We will be working with data related to a book store in the exercises. The files are available for download and you can follow along the videos while practicing.&nbsp; </p><p>&nbsp; 	&nbsp; &nbsp;The course covers the topics that you would need to know, to become a functional user. You can download the Table of Contents document from Chapter 1, to see all the topics the course will address. The course has 89 videos and runs for 9.5 hours.&nbsp; </p><p><strong><em>Since this is a free course, Udemy does not offer certificates anymore.</em></strong></p>",office-productivity,microsoft
Java Tutorial for Complete Beginners,/course/java-tutorial/,24823,Learn to program using the Java programming language,"<p>  	        Learn to program in the Java programming language. This course assumes no prior programming knowledge, just a desire to learn to program.  </p>",development,programming-languages
The Web Developer Bootcamp 2023,/course/the-web-developer-bootcamp/,625204,"10 Hours of React just added. Become a Developer With ONE course - HTML, CSS, JavaScript, React, Node, MongoDB and More!","<p><strong>Now with over 10 hours of React content.&nbsp; Just updated on May 15th, 2023.</strong></p><p>Massive new React ""expansion pack"" covers: React basics, JSX, props, state, Vite, MaterialUI, hooks, useEffect, React design patterns, and more.</p><p>Hi! Welcome to the brand new version of The Web Developer Bootcamp, Udemy's most popular web development course.&nbsp; This course was just completely overhauled to prepare students for the 2023 job market, with over 60 hours of brand new content. This is the <strong>only course you need to learn web development. </strong>There are a lot of options for online developer training, but this course is without a doubt the most comprehensive and effective on the market.&nbsp; Here's why:</p><ul><li><p><strong>This is the only Udemy course taught by a professional bootcamp instructor with a track record of success.</strong></p></li><li><p><strong>92% of my in-person bootcamp students go on to get full-time developer jobs</strong>. Most of them are complete beginners when I start working with them.</p></li><li><p>The previous 2 bootcamp programs that I taught cost <strong>$14,000 and $21,000</strong>.&nbsp; This course is just as comprehensive but with brand new content for a fraction of the price.</p></li><li><p>Everything I cover is up-to-date and relevant to 2022's developer job market.<strong> This course does not cut any corners. I just spent 8 months redoing this behemoth of a course! </strong></p></li><li><p>We build 13+ projects, including a <strong>gigantic production application </strong>called YelpCamp. No other course walks you through the creation of such a substantial application.</p></li><li><p>The course is <strong>constantly updated</strong> with new content, projects, and modules.&nbsp; Think of it as a subscription to a never-ending supply of developer training.</p></li><li><p>You get to meet my cats and chickens! </p></li></ul><p>When you're learning to program you often have to sacrifice learning the exciting and current technologies in favor of the ""beginner friendly"" classes.&nbsp; With this course, you get the best of both worlds.&nbsp; This is a course designed for the complete beginner, yet it covers some of the most exciting and relevant topics in the industry.</p><p>Throughout the brand new version of the course we cover tons of tools and technologies including:</p><ul><li><p><strong>HTML5</strong></p></li><li><p><strong>CSS3</strong></p></li><li><p>Flexbox</p></li><li><p>Responsive Design</p></li><li><p><strong>JavaScript (all 2022 modern syntax, ES6, ES2018, etc.)</strong></p></li><li><p><strong>Asynchronous JavaScript </strong>- Promises, async/await, etc.</p></li><li><p><strong>AJAX </strong>and single page apps</p></li><li><p>Bootstrap 4 and 5 </p></li><li><p><strong>ReactJS</strong></p></li><li><p>SemanticUI</p></li><li><p>Bulma CSS Framework</p></li><li><p><strong>DOM Manipulation</strong></p></li><li><p>Unix(Command Line) Commands</p></li><li><p><strong>NodeJS</strong></p></li><li><p>NPM</p></li><li><p><strong>ExpressJS</strong></p></li><li><p>Templating</p></li><li><p><strong>REST</strong></p></li><li><p><strong>SQL</strong>&nbsp;vs. <strong>NoSQL</strong> databases</p></li><li><p><strong>MongoDB</strong></p></li><li><p>Database Associations</p></li><li><p><strong>Schema Design</strong></p></li><li><p>Mongoose</p></li><li><p><strong>Authentication From Scratch</strong></p></li><li><p>Cookies &amp; Sessions</p></li><li><p>Authorization</p></li><li><p><strong>Common Security Issues - SQL&nbsp;Injection, XSS, etc.</strong></p></li><li><p>Developer Best Practices</p></li><li><p><strong>Deploying Apps</strong></p></li><li><p><strong>Cloud Databases</strong></p></li><li><p><strong>Image Upload </strong>and Storage</p></li><li><p><strong>Maps and Geocoding</strong></p></li></ul><p>This course is also unique in the way that it is structured and presented. Many online courses are just a long series of ""watch as I code"" videos.&nbsp; This course is different. I've incorporated everything I learned in my years of teaching to make this course not only more effective but more engaging. The course includes:<br></p><ul><li><p>Lectures</p></li><li><p>Code-Alongs</p></li><li><p>Projects</p></li><li><p>Exercises</p></li><li><p>Research Assignments</p></li><li><p>Slides</p></li><li><p>Downloads</p></li><li><p>Readings</p></li><li><p>Too many pictures of my dog Rusty</p></li></ul><p>If you have any questions, please don't hesitate to contact me.&nbsp; I got into this industry because I love working with people and helping students learn.&nbsp; Sign up today and see how fun, exciting, and rewarding web development can be!</p>",development,web-development
